Sarah Allan,Allan,,Sarah,艾兰,2,,1945,,,
Roger T. Ames,Ames,T.,Ames,安乐哲,2,,1947,,,
Attilio Andreini,Andreini,,Attilio,艾帝,,,,,,
Stephen C. Angle,Angle,C.,Angle,安靖如,2,,,,,
Yoav Ariel,Ariel,,Yoav,欧永福,,,1946,,,
William H. Baxter,Baxter,H.,William,白一平,,,1949,,,
Cary F. Baynes,Baynes,,Cary,贝恩思,,,1883,1997,,
James Behuniak Jr.,Behuniak,,James,江文思,,,,,,
John Berthrong,Berthrong,,John,白诗朗,,,,,,
Irene Bloom,Bloom,,Irene,华霭仁,,,,,,
Derk Bodde,Bodde,,Derk,卜德,,,,,,
Bill Boltz,Boltz,,Bill,鲍则岳,,,,,,
William G. Boltz,Boltz,G.,William,鲍则岳,2,,,,,
David Prager Branner,Branner,,,林德威,,,,,,
K. E. Brashier,Brashier,,,白瑞旭,,,,,,
A. Takeo Brooks,Brooks,,,白妙子,,,,,,白牧之之妻
E. Bruce Brooks,Brooks,,,白牧之,,,,,,
Ch'u Chai,Chai,,Ch'u,翟楚,,,1906,1986,华裔,
Winberg Chai,Chai,,Winberg,翟文伯,,,,,华裔,翟楚之子
Shirley Chan,Chan,,Shirley,陈慧,,,,,,
Alan K. L. Chan,Chan,,Alain,陈金樑,,,,,华裔,
Wing-tsit Chan,Chan,,Wing-tsit,陈荣捷,2,,,,,
I-jen Chang,Chang,,I-jen,张以仁,,,1930,2009,,台湾。
Edouard Chavannes,Chavannes,,Edouard,沙畹,,,,,,
Chao-ying Chen,Chen,,Chao-ying,陈昭瑛,,,1957,,,台湾。
Annping Chin,Chin,,Annping,金安平,,,1950,,,台湾出生。史景迁之妻。
Kim-chong Chong,Chong,,Kim-chong,庄锦章,,,,,,
Tse-tsung,Chow,,Tse-tsung,周策纵,,,1916,2007,华裔,
Kai-wing Chow,Chow,,Kai-wing,周启荣,,,,,华裔,
W. South Coblin,Coblin,,,柯蔚南,,,1944,,,
Scott Cook,Cook,,Scott,顾史考,2,,1964,,,
Herlee G. Creel,Creel,,Herlee,顾立雅,,,,,,
Antonio S. Cua,Cua,S.,Antonio,柯雄文,3,,1932,2007,中国菲律宾混血,
Christopher Cullen,Cullen,,Christopher,古克礼,,,,,,
W. T. de Bary,de Bary,,,狄百瑞,2,,,,,
Weibke Denecke,Denecke,,Weibke,魏朴和,,,,,,
Homer H. Dubs,Dubs,H.,Homer,德效骞,2,,1892,1969,美国,儒莲奖。曾随父母到中国传教。
Stephen Durrant,Durrant,,Stephen,杜润德,,,,,,
J. J. L. Duyvendak,Duyvendak,,,戴文达,,,1889,1954,荷兰,
Susan Chan Egan,Egan,,,陈毓贤,,,,,菲律宾华侨,
Elling Eide,Eide,,Elling,艾龙,,,,,,
David Elstein,Elstein,,David,杜凯廷,,,,,,
Bob Eno,Eno,,Bob,伊若白,,,,,,
John King Fairbank,Fairbank,,,费正清,,,,,,
Paul Fischer,Fischer,,Paul,方破,,,,,,
Otto Frank,Frank,,Otto,傅兰克,,,1863,1946,德国,
Yiu-ming Fung,Fung,,Yiu-ming,冯耀明,,,,,,
Daniel K. Gardner,Gardner,K.,Daniel,贾德纳,,,1950,,,
Joachim Gentz,Gentz,,Joachim,耿幽静,,,1965,,,
Martin Gimm,Gimm,,Martin,嵇穆,,,,,,
Paul R. Goldin,Goldin,R.,Paul,金鹏程,3,Paul Rakita Goldin,,,,
Howard Goodman,Goodman,,Howard,顾浩华,,,,,,
A. C. Graham,Graham,,Angus,葛瑞汉,2,Angus C. Graham,1919,1991,英国,
Ming Dong Gu,Gu,,Ming Dong,顾明栋,,,1955,,美籍华裔,
David L. Hall,Hall,L.,David,郝大维,,,1937,2001,美国,
Chad Hansen,Hansen,,Chad,陈汉生,,,,,,
Christoph Harbsmeier,Harbsmeier,,Christoph,何莫邪,,,,,,
Don Harper,Harper,,Don,夏德安,,,,,,
James R. Hightower,Hightower,R.,James,海陶玮,,,1915,2006,美国,
Kenneth W. Holloway,Holloway,W.,Kenneth,赫乐为,,,,,美国,
Donald Holzman,Holzman,,Doanld,侯思孟,,,1926,,德裔,
David B. Honey,Honey,B.,David,韩大伟,,,,,,
Cho-yun Hsu,Hsu,,Cho-yun,许倬云,,Hsü Cho-yun,1930,,华裔美国,
Chun-chieh Huang,Huang,,Chun-chieh,黄俊杰,,Huang Chün-chieh,,,,
A. F. P. Hulsewe,Hulsewe,,,何四维,,A. F. P. Hulsewé,1910,1993,荷兰,
Arthur W. Hummel,Hummel,W.,Arthur,恒慕义,,,1884,1975,美国,
Eric Hutton,Hutton,,Eric,何艾克,2,,,,,
Michael D. K. Ing,Ing,,Michael,吴荣桂,,,,,美国,
Philip J. Ivanhoe,Ivanhoe,J.,Philip,艾文贺,3,,1954,,,
Kang-I Sun Chang,Kang-I,,Sun Chang,孙康怡,,,1944,,美国华裔,
Klas B. J. Karlgren,Karlgren,B. J.,Klas,高本汉,,,1889,1978,瑞典,
David Keightley,Keightley,,David,吉德炜,,,,,,
George A. Kennedy,Kennedy,A.,George,金守拙,,,1901,1960,美国,
Martin Kern,Kern,,Martin,柯马丁,2,,,,,
David R. Knechtges,Knechtges,R.,David,康达维,,,,,,
John Knoblock,Knoblock,,John,王志民,1,,1938,1999,美国,
Philip Alden Kuhn,Kuhn,,,孔飞力,,,,,,
Karyn L. Lai,Lai,L.,Karyn,赖蕴慧,,,,,,
D. C . Lau,Lau,,,刘殿爵,3,,1921,2010,中国香港,
Lothar Ledderose,Ledderose,,Lothar,雷德侯,,,,,,
James Legge,Legge,,James,理雅各,2,,1815,1897,英国,传教士
Joseph R. Levenson,Levenson,R.,Joseph,列文森,,,,,,
Mark E. Lewis,Lewis,E.,Edward,陆威仪,2,,1954,,美国,
Chenyang Li,Li,,Chenyang,李晨阳,,,1956,,华裔,
Feng Li,Li,,Feng,李峰,,,1962,,华裔美国,
Shu-hsien Liu,Liu,,Shu-hsien,刘述先,,,,,,
Michael Loewe,Loewe,,Michael,鲁惟一,2,,1922,,英国,
Olga Lomova,Lomova,,Olga,罗然,,Olga Lomová,1955,,,
Erik Maeder,Maeder,,Erik,梅德,,,,,,
John Makeham,Makeham,,John,梅约翰,2,,1955,,,
Goran Malmqvist,Malmqvist,,Goran,马悦然,,Göran Malmqvist,1924,,,
Kai Marchal,Marchal,,Kai,马恺之,,,,,,
Mark A. Csikszentmihalyi,Mark,A.,Csikszentmihalyi,齐思敏,,,1964,,,
Thomas A. Metzger,Metzger,A.,Thomas,墨子刻,,,,,,
Achim Mittag,Mittag,,Achim,闵道安,2,,1958,,德国,
Bo Mou,Mou,,Bo,牟博,,,,,,
Donald J. Munro,Munro,J.,Donald,孟旦,,,,,,
Joseph Needham,Needham,,Joseph,李约瑟,,,,,,
Robert C. Neville,Neville,C.,Robert,南乐山,,,,,,
On-cho Ng,Ng,,On-cho,伍安祖,,,,,美国,
William H. Nienhauser,Nienhauser,H.,William,倪豪士,,,,,,
David S. Nivison,Nivison,S.,David,倪德卫,4,,1923,2014,美国,
Michael Nylan,Nylan,,Michael,戴梅可,3,,1950,,,
Stephen Owen,Owen,,Stephen,宇文所安,2,,1946,,,
Yuri Pines,Pines,,Yuri,尤锐,3,,1964,,以色列,
Timoteus Pokora,Pokora,,Timoteus,鲍格洛,,,1928,1985,捷克,
Matteo Ricci,Ricci,,Matteo,利玛窦,,,,,,
Mathias L. Richter,Richter,L.,Mathias,李孟涛,,,,,美国,
Jeffrey K. Riegel,Riegel,K.,Jeffrey,王安国,,,1945,,,
Dan Robins,Robins,,Dan,罗丹,,,,,,
Heiner Roetz,Roetz,,Heiner,罗哲海,,,,,,
"Henry Rosemont, Jr.",Rosemont,,Henry,罗思文,3,,1934,2017,美国,
Harold Roth,Roth,,Harold,罗浩,,,,,,
David Roy,Roy,,David,芮效卫,,,,,,
Michele Ruggieri,Ruggieri,,Michele,罗明坚,,,,,,
Bruce Rusk,Rusk,,Bruce,阮思德,,,,,加拿大,中国明代文化史。
