,名字,姓,名,中文名,汉名,漢名,洋名又名,汉名又名,无调姓,无调名,生年,卒年,族裔,备注,加权计数,异文
3530,Pascal Abb,Abb,Pascal,艾沛思,艾沛思,艾沛思,0,0,Abb, Pascal,0,0,0,0,10,
3529,Stanley Abe,Abe,Stanley,阿部贤次,阿部贤次,阿部賢次,0,0,Abe, Stanley,0,0,0,0,10,
3528,Oded Abt,Abt,Oded,歐克德,欧克德,歐克德,0,0,Abt, Oded,0,0,0,0,10,
3527,Pedro Acosta,Acosta,Pedro,柯彼得,柯彼得,柯彼得,0,0,Acosta, Pedro,0,0,0,0,10,
3526,Harold Acton,Acton,Harold,艾克顿,艾克顿,艾克頓,0,0,Acton, Harold,0,0,0,0,20,
3525,Kiroku Adachi,Adachi,Kiroku,足立喜六,足立喜六,足立喜六,0,0,Adachi, Kiroku,0,0,0,0,10,
3523,Piotr Adamek,Adamek,Piotr,顧孝永,顾孝永,顧孝永,0,0,Adamek, Piotr,0,0,0,0,10,
3524,Wendi Adamek,Adamek,Wendi,韦闻笛,韦闻笛,韋聞笛,0,0,Adamek, Wendi,0,0,0,0,20,
3895,Joseph Adler,Adler,Joseph,艾周思,艾周思,艾周思,0,0,Adler, Joseph,0,0,0,0,10,Joseph A. Adler
3522,Nick Admussen,Admussen,Nick,安敏軒,安敏轩,安敏軒,0,0,Admussen, Nick,0,0,0,0,10,
3521,Liubov Afonina,Afonina,Liubov,劉雨馨,刘雨馨,劉雨馨,0,0,Afonina, Liubov,0,0,0,0,10,
3519,Byung-joon Ahn,Ahn,Byung-joon,安秉俊,安秉俊,安秉俊,0,0,Ahn, Byung-joon,0,0,0,0,10,
3520,Juhn Ahn,Ahn,Juhn,安俊泳,安俊泳,安俊泳,0,0,Ahn, Juhn,0,0,0,0,10,
3518,Göran Aijmer,Aijmer,Göran,艾堯仁,艾尧仁,艾堯仁,0,0,Aijmer, Goran,0,0,0,0,10,
3517,Eli N. Alberts,Alberts,Eli N.,伊萊,伊莱,伊萊,0,0,Alberts, Eli N.,0,0,0,0,10,
3516,Clark L. Alejandrino,Alejandrino,Clark L.,蔡瀚霖,蔡瀚霖,蔡瀚霖,0,0,Alejandrino, Clark L.,0,0,0,0,10,
3515,William P. Alford,Alford,William P.,安守廉,安守廉,安守廉,0,0,Alford, William P.,0,0,0,0,20,
3514,Grant Alger,Alger,Grant,葛治平,葛治平,葛治平,0,0,Alger, Grant,0,0,0,0,10,
3894,Guy S. Alitto,Alitto,Guy S.,艾恺,艾恺,艾愷,0,0,Alitto, Guy S.,0,0,0,0,10,Guy Salvatore Alitto
3893,Sarah Allan,Allan,Sarah,艾兰,艾兰,艾蘭,0,0,Allan, Sarah,0,0,0,0,20,Sarah Allan
3513,Joseph R. Allen,Allen,Joseph R.,周文龙,周文龙,周文龍,0,0,Allen, Joseph R.,0,0,0,0,20,
3512,Robert E. Allinson,Allinson,Robert E.,爱莲心,爱莲心,愛蓮心,0,0,Allinson, Robert E.,0,0,0,0,20,
3511,Fiorella Allio,Allio,Fiorella,艾茉莉,艾茉莉,艾茉莉,0,0,Allio, Fiorella,0,0,0,0,10,
3510,Thomas T. Allsen,Allsen,Thomas T.,艾爾森,艾尔森,艾爾森,0,0,Allsen, Thomas T.,0,0,0,0,10,
3509,Wilson Almeida,Almeida,Wilson,歐威信,欧威信,歐威信,0,0,Almeida, Wilson,0,0,0,0,10,
3508,Niki Alsford,Alsford,Niki,歐尼基,欧尼基,歐尼基,0,0,Alsford, Niki,0,0,0,0,10,
3507,Roland Altenburger,Altenburger,Roland,安如巒,安如峦,安如巒,0,0,Altenburger, Roland,0,0,0,0,10,
3506,Engelbert Altenburger,Altenburger,Engelbert,古堡,古堡,古堡,0,0,Altenburger, Engelbert,0,0,0,0,10,
3505,José Ramón Álvarez,Álvarez,José Ramón,雷孟篤,雷孟笃,雷孟篤,0,0,Alvarez, Jose Ramon,0,0,0,0,10,
3504,Elad Alyagon,Alyagon,Elad,樂永天,乐永天,樂永天,0,0,Alyagon, Elad,0,0,0,0,10,
3503,Iwo Amelung,Amelung,Iwo,阿梅龍,阿梅龙,阿梅龍,0,0,Amelung, Iwo,0,0,0,0,10,
3892,Roger T. Ames,Ames,Roger T.,安乐哲,安乐哲,安樂哲,0,0,Ames, Roger T.,0,0,0,0,20,Roger T. Ames
3502,Joseph Marie Amiot,Amiot,Joseph Marie,钱德明,钱德明,錢德明,0,0,Amiot, Joseph Marie,0,0,0,0,10,
3501,Judith M. Amory,Amory,Judith M.,梅珠迪,梅珠迪,梅珠迪,0,0,Amory, Judith M.,0,0,0,0,10,
3500,Ann S. Anagnost,Anagnost,Ann S.,安德训,安德训,安德訓,0,0,Anagnost, Ann S.,0,0,0,0,20,
3499,Poul Andersen,Andersen,Poul,安保羅,安保罗,安保羅,0,0,Andersen, Poul,0,0,0,0,10,
3498,Marston Anderson,Anderson,Marston,安敏成,安敏成,安敏成,0,0,Anderson, Marston,0,0,0,0,20,
3497,James A. Anderson,Anderson,James A.,安齊毅,安齐毅,安齊毅,0,0,Anderson, James A.,0,0,0,0,10,
3496,Johan G. Andersson,Andersson,Johan G.,安特生,安特生,安特生,0,0,Andersson, Johan G.,0,0,0,0,20,
3495,Lorenzo Andolfatto,Andolfatto,Lorenzo,安羅嵐,安罗岚,安羅嵐,0,0,Andolfatto, Lorenzo,0,0,0,0,10,
3891,Tonio Andrane,Andrane,Tonio,欧阳泰,欧阳泰,歐陽泰,0,0,Andrane, Tonio,0,0,0,0,10,Tonio Andrade
3494,Guilhem André,André,Guilhem,安炜,安炜,安煒,0,0,Andre, Guilhem,0,0,0,0,10,
3493,Joel Andreas,Andreas,Joel,安舟,安舟,安舟,0,0,Andreas, Joel,0,0,0,0,10,
3890,Attilio Andreini,Andreini,Attilio,艾帝,艾帝,艾帝,0,0,Andreini, Attilio,0,0,0,0,10,Attilio Andreini
3492,Anita M. Andrew,Andrew,Anita M.,安竹,安竹,安竹,0,0,Andrew, Anita M.,0,0,0,0,20,
3889,Julia Andrews,Andrews,Julia,安雅兰,安雅兰,安雅蘭,0,0,Andrews, Julia,0,0,0,0,10,Julia F. Andrews
3491,Dušan Andrš,Andrš,Dušan,安德昌,安德昌,安德昌,0,0,Andrs, Dusan,0,0,0,0,10,
3490,Ming Chee Ang,Ang,Ming Chee,洪敏芝,洪敏芝,洪敏芝,0,0,Ang, Ming Chee,0,0,0,0,10,
3888,Stephen Angle,Angle,Stephen,安靖如,安靖如,安靖如,0,0,Angle, Stephen,0,0,0,0,10,Stephen C. Angle
3489,Michiko Aoki,Aoki,Michiko,青木美智子,青木美智子,青木美智子,0,0,Aoki, Michiko,0,0,0,0,20,
3488,Richard P. Appelbaum,Appelbaum,Richard P.,理查德,理查德,理查德,0,0,Appelbaum, Richard P.,0,0,0,0,10,
3487,Francesco Arcodia,Arcodia,Francesco,馬振國,马振国,馬振國,0,0,Arcodia, Francesco,0,0,0,0,10,
3485,Yoav Ariel,Ariel,Yoav,欧永福,欧永福,歐永福,0,0,Ariel,Yoav,1946,0,0,0,10,
3486,Yoav Ariel,Ariel,Yoav,歐永褔,欧永褔,歐永褔,0,0,Ariel, Yoav,0,0,0,0,10,
3887,David Arkush,Arkush,David,欧达伟,欧达伟,歐達偉,0,0,Arkush, David,0,0,0,0,10,R. David Arkush
3484,Jackie Armijo,Armijo,Jackie,艾敏慧,艾敏慧,艾敏慧,0,0,Armijo, Jackie,0,0,0,0,20,
3483,Veronique Arnaud,Arnaud,Veronique,艾諾,艾诺,艾諾,0,0,Arnaud, Veronique,0,0,0,0,10,
3482,Alain Arrault,Arrault,Alain,華瀾,华澜,華瀾,0,0,Arrault, Alain,0,0,0,0,10,
3481,Tomomi Asakura,Asakura,Tomomi,朝倉友海,朝仓友海,朝倉友海,0,0,Asakura, Tomomi,0,0,0,0,10,
3480,R.E. Asher,Asher,R.E.,阿舍,阿舍,阿舍,0,0,Asher, R.E.,0,0,0,0,20,
3478,Ina Asim,Asim,Ina,康依娜,康依娜,康依娜,0,0,Asim, Ina,0,0,0,0,10,
3479,Ina Asim,Asim,Ina,康怡諾,康怡诺,康怡諾,0, 康依娜,Asim, Ina,0,0,0,0,10,
3477,Friederike Assandri,Assandri,Friederike,李可,李可,李可,0,0,Assandri, Friederike,0,0,0,0,10,
3476,William S. Atwell,Atwell,William S.,艾维四,艾维四,艾維四,0,0,Atwell, William S.,0,0,0,0,20,
3475,David G. Atwill,Atwill,David G.,龍大衛,龙大卫,龍大衛,0,0,Atwill, David G.,0,0,0,0,10,
3474,David G. Atwill,Atwill,David G.,龙戴维,龙戴维,龍戴維,0,0,Atwill, David G.,0,0,0,0,10,
3473,Chung-to Au,Au,Chung-to,歐仲桃,欧仲桃,歐仲桃,0,0,Au, Chung-to,0,0,0,0,10,
3472,Françoise Aubin,Aubin,Françoise,鄂法蘭,鄂法兰,鄂法蘭,0,0,Aubin, Francoise,0,0,0,0,10,
3471,Léonard Eugène Aurousseau,Aurousseau,Léonard Eugène,鄂卢梭,鄂卢梭,鄂盧梭,0,0,Aurousseau, Leonard Eugene,0,0,0,0,20,
3470,Stephen C. Averill,Averill,Stephen C.,韦思谛,韦思谛,韋思諦,0,0,Averill, Stephen C.,0,0,0,0,10,
3469,Florence Ayscough,Ayscough,Florence,艾思柯,艾思柯,艾思柯,0,0,Ayscough, Florence,0,0,0,0,10,
3468,Kara Babb,Babb,Kara,白绮君,白绮君,白綺君,0,0,Babb, Kara,0,0,0,0,10,
3467,Sarah J. Babcock,Babcock,Sarah J.,白慧學,白慧学,白慧學,0,0,Babcock, Sarah J.,0,0,0,0,10,
3466,Felipe Bacalso,Bacalso,Felipe,陳輝立,陈辉立,陳輝立,0,0,Bacalso, Felipe,0,0,0,0,10,
3465,Ludwig Bachhofer,Bachhofer,Ludwig,巴赫霍夫,巴赫霍夫,巴赫霍夫,0,0,Bachhofer, Ludwig,0,0,0,0,20,
3464,Andrea Bachner,Bachner,Andrea,白安卓,白安卓,白安卓,0,0,Bachner, Andrea,0,0,0,0,10,
3463,Sookhee Bae,Bae,Sookhee,裴淑姬,裴淑姬,裴淑姬,0,0,Bae, Sookhee,0,0,0,0,10,
3462,P.C. Bagchi,Bagchi,P.C.,師覺月,师觉月,師覺月,0,0,Bagchi, P.C.,0,0,0,0,10,
3461,Giacomo Baggio,Baggio,Giacomo,巴喬,巴乔,巴喬,0,0,Baggio, Giacomo,0,0,0,0,10,
3460,Judit Bagi,Bagi,Judit,劉方,刘方,劉方,0,0,Bagi, Judit,0,0,0,0,10,
3457,Jianhua Bai,Bai,Jianhua,白建华,白建华,白建華,0,0,Bai, Jianhua,0,0,0,0,20,
3458,Limin Bai,Bai,Limin,白莉民,白莉民,白莉民,0,0,Bai, Limin,0,0,0,0,10,
3459,Qianshen Bai,Bai,Qianshen,白谦慎,白谦慎,白謙慎,0,0,Bai, Qianshen,0,0,0,0,20,
3456,Paul J. Bailey,Bailey,Paul J.,白貝利,白贝利,白貝利,0,0,Bailey, Paul J.,0,0,0,0,10,
3886,Timothy Baker,Baker,Timothy,貝克定,贝克定,貝克定,0,0,Baker, Timothy,0,0,0,0,10,Timothy D. Baker
3455,Børge Bakken,Bakken,Børge,白肯,白肯,白肯,0,0,Bakken, Borge,0,0,0,0,10,
3454,Severina Angelova Balabanova,Balabanova,Severina Angelova,謝薇娜,谢薇娜,謝薇娜,0,0,Balabanova, Severina Angelova,0,0,0,0,10,
3453,Étienne Balazs,Balazs,Étienne,白乐日,白乐日,白樂日,0,0,Balazs, Etienne,0,0,0,0,20,
3452,Yingtsih Balcom,Balcom,Yingtsih,黃瑛姿,黄瑛姿,黃瑛姿,0,0,Balcom, Yingtsih,0,0,0,0,20,
3451,John Balcom,Balcom,John,陶忘机,陶忘机,陶忘機,0,0,Balcom, John,0,0,0,0,20,
3450,Kathlene Baldanza,Baldanza,Kathlene,白凱琳,白凯琳,白凱琳,0,0,Baldanza, Kathlene,0,0,0,0,10,
3449,Stephanie Lynn Balkwill,Balkwill,Stephanie Lynn,白思芳,白思芳,白思芳,0,0,Balkwill, Stephanie Lynn,0,0,0,0,20,
3448,Joseph William Ballantine,Ballantine,Joseph William,包蘭亭,包兰亭,包蘭亭,0,0,Ballantine, Joseph William,0,0,0,0,10,
3447,Ursula Ballin,Ballin,Ursula,吳素樂,吴素乐,吳素樂,0,0,Ballin, Ursula,0,0,0,0,10,
3446,Agita Baltgalve,Baltgalve,Agita,鮑葛薇,鲍葛薇,鮑葛薇,0,0,Baltgalve, Agita,0,0,0,0,10,
3445,Werner Banck,Banck,Werner,龐緯,庞纬,龐緯,0,0,Banck, Werner,0,0,0,0,10,
3444,John Bandy,Bandy,John,班健,班健,班健,0,0,Bandy, John,0,0,0,0,10,
3443,Shuming Bao,Bao,Shuming,鲍曙明,鲍曙明,鮑曙明,0,0,Bao, Shuming,0,0,0,0,20,
3442,Brigitte Baptandier,Baptandier,Brigitte,貝桂菊,贝桂菊,貝桂菊,0,0,Baptandier, Brigitte,0,0,0,0,10,
3441,Nimrod Baranovitch,Baranovitch,Nimrod,尼曼,尼曼,尼曼,0,0,Baranovitch, Nimrod,0,0,0,0,20,
