,名字,姓,名,中文名,汉名,漢名,洋名又名,汉名又名,无调姓,无调名,生年,卒年,族裔,备注,加权计数
13,Brook Ziporyn,Ziporyn,Brook,任博克,任博克,任博克,0,0,Ziporyn, Brook,0.0,0.0,0,0,10
14,Brook A. Ziporyn,Ziporyn,Brook A.,任博克,任博克,任博克,0,0,Ziporyn, Brook A.,0.0,0.0,0,0,10
91,Judith Zeitlin,Zeitlin,Judith,蔡九迪,蔡九迪,蔡九迪,0,0,Zeitlin, Judith,0.0,0.0,0,0,10
92,Judith T. Zeitlin,Zeitlin,Judith T.,蔡九迪,蔡九迪,蔡九迪,0,0,Zeitlin, Judith T.,0.0,0.0,0,0,10
97,Dongsheng Zang,Zang,Dongsheng,臧东升,臧东升,臧東昇,0,0,Zang, Dongsheng,0.0,0.0,0,0,10
98,Dongsheng Zang,Zang,Dongsheng,臧東升,臧东升,臧東升,0,0,Zang, Dongsheng,0.0,0.0,0,0,10
119,Chün-fang Yü,Yü,Chün-fang,于君方,于君方,于君方,0,0,Yu, Chun-fang,0.0,0.0,0,0,10
122,Anthony C. Yu,Yu,Anthony C.,余国藩,余国藩,餘國藩,0,0,Yu, Anthony C.,0.0,0.0,0,0,10
123,Anthony C. Yu,Yu,Anthony C.,余國藩,余国藩,余國藩,0,0,Yu, Anthony C.,0.0,0.0,0,0,10
125,Chun-fang Yu,Yu,Chun-fang,于君方,于君方,於君方,0,0,Yu, Chun-fang,0.0,0.0,0,0,10
133,Siu Wah Yu,Yu,Siu Wah,余少华,余少华,餘少華,0,0,Yu, Siu Wah,0.0,0.0,0,0,10
134,Siu Wah Yu,Yu,Siu Wah,余少華,余少华,余少華,0,0,Yu, Siu Wah,0.0,0.0,0,0,10
143,Yoshiko Yoshimura,Yoshimura,Yoshiko,吉村敬子,吉村敬子,吉村敬子,0,0,Yoshimura, Yoshiko,0.0,0.0,0,0,10
144,Yoshimura Yoshiko,Yoshiko,Yoshimura,吉村敬子,吉村敬子,吉村敬子,0,0,Yoshiko, Yoshimura,0.0,0.0,0,0,10
153,Wai Lim Yip,Yip,Wai Lim,葉維廉,叶维廉,葉維廉,0,0,Yip, Wai Lim,0.0,0.0,0,0,10
154,Wai-lin Yip,Yip,Wai-lin,叶维廉,叶维廉,葉維廉,0,0,Yip, Wai-lin,0.0,0.0,0,0,10
160,Wai-lim Yik,Yik,Wai-lim,葉維廉,叶维廉,葉維廉,0,0,Yik, Wai-lim,0.0,0.0,0,0,10
194,Xinzhong Yao,Yao,Xinzhong,姚新中,姚新中,姚新中,0,0,Yao, Xinzhong,0.0,0.0,0,0,10
195,Xinzhong Yao,Yao,Xinzhong,姚新中,姚新中,姚新中,0,0,Yao,Xinzhong,1957.0,0.0,英国华裔,0,10
198,C. K. Yang,Yang,C. K.,杨庆堃,杨庆堃,楊慶堃,0,0,Yang, C. K.,0.0,0.0,0,0,10
199,C.K. Yang,Yang,C.K.,楊慶堃,杨庆堃,楊慶堃,0,0,Yang, C.K.,0.0,0.0,0,0,10
202,Daniel Shih-p’eng Yang,Yang,Daniel Shih-p’eng,杨世彭,杨世彭,楊世彭,0,0,Yang, Daniel Shih-p’eng,0.0,0.0,0,0,10
203,Daniel Shih-p'eng Yang,Yang,Daniel Shih-p'eng,楊世彭,杨世彭,楊世彭,0,0,Yang, Daniel Shih-p'eng,0.0,0.0,0,0,10
214,Lien-sheng Yang,Yang,Lien-sheng,杨联陞,杨联升,楊聯陞,0,0,Yang, Lien-sheng,0.0,0.0,0,0,10
215,Lien-sheng Yang,Yang,Lien-sheng,楊聯升,杨联升,楊聯升,0,0,Yang, Lien-sheng,0.0,0.0,0,0,10
217,Mayfair Yang,Yang,Mayfair,杨美惠,杨美惠,楊美惠,0,0,Yang, Mayfair,0.0,0.0,0,0,10
218,Mayfair Mei-hui Yang,Yang,Mayfair Mei-hui,楊美惠,杨美惠,楊美惠,0,0,Yang, Mayfair Mei-hui,0.0,0.0,0,0,10
236,Margaret Mian Yan Yan,Yan,Margaret Mian Yan,严绵,严绵,嚴綿,0,0,Yan,Margaret Mian Yan,0.0,0.0,0,0,10
237,Margaret Mian Yan Yan,Yan,Margaret Mian Yan,嚴綿,严绵,嚴綿,0,0,Yan, Margaret Mian Yan,0.0,0.0,0,0,10
273,Yu Xie,Xie,Yu,谢宇,谢宇,謝宇,0,0,Xie, Yu,0.0,0.0,0,0,20
292,Fusheng Wu,Wu,Fusheng,吴伏生,吴伏生,吳伏生,0,0,Wu, Fusheng,0.0,0.0,0,0,20
293,Fu-sheng Wu,Wu,Fu-sheng,吴伏生,吴伏生,吳伏生,0,0,Wu,Fu-sheng,0.0,0.0,美国华裔,0,10
317,Yuanli Wu,Wu,Yuanli,吳元黎,吴元黎,吳元黎,0,0,Wu, Yuanli,0.0,0.0,0,0,10
318,Yuan-li Wu,Wu,Yuan-li,吴元黎,吴元黎,吳元黎,0,0,Wu, Yuan-li,0.0,0.0,0,0,10
320,Arthur Wright,Wright,Arthur,芮沃寿,芮沃寿,芮沃壽,0,0,Wright, Arthur,0.0,0.0,0,0,20
