A,
Abb， Pascal,艾沛思
Abt， Oded,歐克德
Acton， Harold,艾克頓
Adamek， Piotr,顧孝永
Adamek， Wendi,韋聞笛
Adler， Joseph A.,艾周思
Admussen， Nick,安敏軒
Afonina， Liubov,劉雨馨
Aguilar Sánchez， Victor Manuel,歐衛道
Ahn， Byung-joon,安秉俊
Ahn， Juhn,安俊泳
Aijmer， Göran,艾堯仁
Akwen， Charles,文稼山
Alejandrino， Clark L.,蔡瀚霖
Alberts， Eli N.,伊萊
Alexander， Katherine,亞天恩
Alford， William P.,安守廉
Alger， Grant,葛治平
Alitto， Guy Salvatore,艾愷
Allan， Sarah,艾蘭
Allen， Joseph R.,周文龍
Allen， Young John,林樂知
Allinson， Robert E.,愛蓮心
Allio， Fiorella,艾茉莉
Allsen， Thomas T.,艾爾森
Almeida， Wilson,歐威信
Alperen， Ümit,鄭和
Alsford， Niki,歐尼基
Altenburger， Engelbert,古堡
Altenburger， Roland,安如巒
Álvarez， José Ramón,雷孟篤
Alyagon， Elad,樂永天
Amelung， Iwo,阿梅龍
Ames， Roger T.,安樂哲
Amory， Judith M.,梅珠迪
An， Sooyoung,安洙英
Anagnost， Ann S.,安德訓
Anderl， Christoph,安東平
Andersen， Poul,安保羅
Anderson， James A.,安齊毅
Anderson， Marston,安敏成
Andersson， Johan G.,安特生
Andolfatto， Lorenzo,安羅嵐
Andrade， Tonio,歐陽泰
Andreas， Joel,安舟
Andreini， Attilio,艾帝
Andrew， Anita M.,安竹
Andrews， Julia F.,安雅蘭
Andrews， Susan,安素桑
Andrš， Dušan,安德昌
Ang， Isabelle,洪怡沙
Ang， Ming Chee,洪敏芝
Angle， Stephen,安靖如
Aoki， Michiko,青木美智子
Apatóczky， Ákos Bertalan,阿保磯
Arcodia， Francesco,馬振國
Arecanli， Sare,李瑞
Ariel， Yoav,歐永褔
Arkush， R. David,歐達偉
Armijo， Jackie,艾敏慧
Arnaud， Veronique,艾諾
Arrault， Alain,華瀾
Asakura， Tomomi,朝倉友海
Asher， R.E.,阿舍
Asim， Ina,康怡諾 / 康依娜
Assandri， Friederike,李可
Astley， Ian,艾易安
Atwell， William S.,艾維四
Atwill， David G.,龍戴維
Au， Chung-to,歐仲桃
Aubin， Françoise,鄂法蘭
Aurousseau， Léonard Eugène,鄂盧梭
Ayscough， Florence,艾思柯
,
B,
Babcock， Sarah J.,白慧學
Bacalso， Felipe,陳輝立
Bachhofer， Ludwig,巴赫霍夫
Bachner， Andrea,白安卓
Backus， Robert,拔苦子
Bae， Young Ja,裴英子
Bae， Sookhee,裴淑姬
Bagchi， P.C.,師覺月
Baggio， Giacomo,巴喬
Bagi， Judit,劉方
Bai， Jianhua,白建華
Bai， Limin,白莉民
Bai， Qianshen,白謙慎
Baik， Chang Jae,白昌宰
Bailey， Paul J.,白貝利
Baker， Hugh D. R.,裴達禮
Baker， Timothy,貝克定
Bakken， Børge,白肯
Balabanova， Severina Angelova,謝薇娜
Balazs， Étienne (Stefan),白樂日
Balcom， John,陶忘機
Balcom， Yingtsih,黃瑛姿
Baldanza， Kathlene,白凱琳
Balkwill， Stephanie Lynn,白思芳
Ballantine， Joseph William,包蘭亭
Ballin， Ursula,吳素樂
Baltgalve， Agita,鮑葛薇
Banck， Werner,龐緯
Bandy， John,班健
Bao， Shuming,鮑曙明
Baptandier， Brigitte,貝桂菊
Baranovitch， Nimrod,尼曼
Barbieri-Low， Anthony,李安敦
Barlow， Tani E.,白露
Barmé， Geremie R.,白傑明
Barnard， Noel,巴納
Barnes， Nicole,江松月
Barnett， Arthur Doak,鮑大可
Barnett， Robert Warren,鮑華倫
Barnhart， Richard M.,班宗華
Barr， Allan,白亞仁
Barrett， David Dave,包瑞德
Barrett， Timothy H.,巴雷特
Barry， Peter,薀順天
Barss， Edward,余小龍
