A
Abe, Stanley	阿部贤次
Acosta, Pedro	柯彼得
Acton, Harold	艾克顿
Adachi, Kiroku	足立喜六
Adamek, Wendi	韦闻笛
Adler, Joseph	艾周思
André, Guilhem	安炜
Alford, William P.	安守廉
Alitto, Guy S.	艾恺
Allan, Sarah	艾兰
Allen, Joseph R.	周文龙
Allinson, Robert E.	爱莲心
 
Ames, Roger T.	安乐哲
Amiot, Joseph Marie	钱德明
Anagnost, Ann S.	安德训
Anderson, Marston	安敏成
Andersson, Johan G.	安特生
Andrane, Tonio	欧阳泰
Andrew, Anita M.	安竹
Andrews, Julia	安雅兰
Angle, Stephen C.	安靖如
Aoki, Michiko	青木美智子
Appelbaum, Richard P.	理查德
Arkush, David	欧达伟
Armijo, Jackie	艾敏慧
Asher, R.E.	阿舍
Asim, Ina	康依娜
Atwell, William S.	艾维四
Atwill, David G.	龙戴维
Aurousseau, Léonard Eugène	鄂卢梭
Averill, Stephen C.	韦思谛

B
Babb, Kara	白绮君
Bachhofer, Ludwig	巴赫霍夫
Bai, Jianhua	白建华
Bai, Qianshen	白谦慎
Baker, Timothy D.	贝克定
Balazs, Étienne	白乐日
Balcom, John	陶忘机
 
Balcom, Yingtsih	黃瑛姿
Balkwill, Stephanie Lynn	白思芳
Bao, Shuming	鲍曙明
Baranovitch, Nimrod	尼曼
Barbieri-Low, Anthony	李安敦
Barbora, Platzerova	林百合
Barlow, Tani	白露
Barnard, Noel	巴纳
Barnett, Doak	鲍大可
Barnhart, Richard M.	班宗华
Barr, Allan	白亚仁
Barr, Allan H.	艾伦
Bartlett, Beatrice S.	白彬菊
Bauer, Robert S.	包睿舜
Bauer, Wolfgang	鲍吾刚
Baum, Richard	包瑞嘉
Baxter, William H. III	白一平
Bays, Dan	裴士丹
Beattie, Hilary J.	白蒂
Beckwith, Christopher	白桂思
Behr, Wolfgang	毕鹗
Belk, Russell W.	白乐寿
Bellassen, Joël	白乐桑
Benedict, Paul	白保罗
Benn, James A.	贝剑铭
Bennett, Gwen P.	关玉琳
Bent, Nielsen	尼尔森
Benton , Gregor	班国瑞
 
Benziger, Vincent	班文新
Berezkin, Rostislav	白若思
Berger, Patricia A.	白瑞霞
Bergere, Marie-Claire	白吉尔
Berkowitz, Alan	柏士隐
Berling, Judith	白居惕
Berman, Lex	贝明远
Bernhardt, Kathry	白凯
Bernstein, Thomas P.	白思鼎
Berring, Robert C.	柏润
Berry, Chris	裴开瑞
Berry, Michael	白睿文（又作白瑞克）
Berthrong, John	白诗朗
Besio, Kimberley	金葆莉
Bi, Jianxiang	毕建祥
Bian, Yanjie	边燕杰
Bianchi, Ester	黄晓星
Bianco, Lucien	毕仰高
Bickford, Maggie	毕嘉珍
Bieg, Lutz	毕鲁直
Biggerstaff, Knight	毕乃德
Billeter, Jean François	毕来德
Bingenheimer, Marcus	马德伟
Bingham, Woodbridge	宾板桥
Biot, Edouard Constant	毕瓯
Birch, Cyril	白之
Birge, Bettine	柏清韵
Bishop, Carl Whiting	毕士博
 
Blakeley, Barry B.	蒲百瑞
Blanc, Charles Le	白光华
Blasko, Dennis J.	卜思高
Blumenthal, Dan	卜大年
Bodman, Nicholas C.	包拟古
Bokenkamp, Stephen	柏夷
Bol, Peter K.	包弼德
Boltz, Judith	鲍菊隐
Boltz, William G.	鲍则岳
Bonet, Jean	博内特
Bonino, Gabriella	唐云
Bonnin, Michel	潘鸣啸
Boodberg, Peter A.	卜弼德
Boorman, Howard L.	包华德
Borchigud, Wurlig	乌尔丽歌
Bossen, Laurel	宝森
Bossler, Beverly	柏文莉
Bottelier, Pieter P.	鲍泰利
Bottero, Françoise	蒲芳莎
Boulais, Guy	鲍来思
Bourgerie, Dana	白杰理
Braester, Yomi	柏右铭
Brandauer, Frederick W.	白保罗
Brandtstadter, Susanne	白素珊
Branner, David	林德威
Brashier, Kenneth E.	白瑞旭
Bräutigam, Deborah	黛博拉·布罗蒂加姆（又作博黛蓉）
 
Bray, Francesca	白馥兰
Bretschneider, Emil	薄乃德
Brindley, Erica	钱德梁
Britton, Roswell S.	白瑞华
Brokaw, Cynthia J.	包筠雅
Brook, Timothy	卜正民
Brown, Clayton D.	博思源
Brown, Homer	饶和美
Brown, Melissa J.	鲍梅立
Brown, Miranda	董慕达
Brown, Ronald C.	包伦仁
Brown, Shana	宗小娜

Brownell, Susan	包苏珊
Bruya, Brian	柏啸虎
Bryant, Daniel	白润德
Bryant, Lei Ouyang	欧阳小丽
Buck, David D.	鲍德威
Buck, John L.	卜凯
Buck, Pearl	赛珍珠
Bujard, Marianne	吕敏
Burkus-Chasson, Anne	濮安
Burgees, John Stewart	步济时
Burnett, Katharine P.	陶幽庭
Burns, John P.	卜约翰
Bush, Richard	卜睿哲
Bush, Susan	卜寿珊
Bushell, Stephen W.	布邵尔
 
Butterfield, Fox	包德甫
Button, Peter	白培德
Buxbaum, David C.	包恒


C
Cabestan, Jean-Pierre	高敬文
Caffery, Patrick	宋凯旋
Cahen, Gaston	加恩
Cahill, James	高居翰
Cahill, Suzanne E.	柯素芝
Cai, Jindong	蔡金冬
Cai, Zongqi	蔡宗齐
Cairns, Christopher	石嘉锐
Callahan, William A.	柯岚安
Campany, Robert F.	康儒博
Campbell, Cameron	康文林
Cao, Yang	曹洋
Carlitz, Katherine	柯丽德
Carlson, Allen	寇艾伦
Carroll, Peter J.	柯必德
Carter, James	柯杰诣
Chaffee, John W.	贾志扬
Chai, Winberg	翟文伯
Chalfant, Frank Herring	方法敛
Chan, Alan K.	陈金樑
Chan, Anita	陈佩华
Chan, Fook-lam Gilbert	陈福霖
Chan, Hok-lam	陈学霖
 
Chan, Kam Wing	陈金永
Chan, Marjorie K. M.	陈洁雯
Chan, Ping-leung	陈炳良
Chan, Sau Yan	陈守仁
Chan, Wellington Kam-kong	陈锦江
Chan, Tim Wai-Keung	陈伟强
Chan, Wing-tsit	陈荣捷
Chandler, Stuart	钱思渡
Chang, Chia-Feng	張嘉凤
Chang, Carsun（又作Chang Chün-mai）	张君劢
Chang, Chun-shu	张春树
Chang, Chung Ho	张充和
Chang, David W.	张大卫
Chang, Garma Chen-chi	张澄基
Chang, Golden	章家敦
Chang, Hao	张灏
Chang, Hung-nien	张洪年
Chang, Joseph	张子宁
Chang, Kwang-chih	张光直
Chang, Kuei-sheng	张桂生
Chang, Kun	张琨
Chang,Leslie T.	张彤禾
Chang, Michael G.	张勉治
Chang, Parris Hsu-cheng	张旭成
Chang, Richard I-feng	张一峰
Chang, Shelley Hsueh-lun	骆雪伦
Chang, The-kuang	张德光
Chang, Tsong-zung	张颂仁
 
Chang, Yvonne	张颂圣
Chantal, Chen-Andro	尚德兰
Chantasasawat, Busakorn	曾金燕
Chao, Emily	赵省华
Chao, Kang	赵冈
Chao, Kang	赵康
Chao, Rulan（又作 Rulan Chao Pian）	赵如兰 
Chao, Shin-yi	赵昕毅
Chao, Yuan-ling	赵元玲
Chao, Yuen Ren	赵元任
Charignon, Antoine Henry Joseph	沙海昂
Chau, Adam	周越
Chavannes, Edouard	沙畹
Chaves, Jonathan	齐皎瀚
Cheek, Timothy	齐慕实
Chen, Chih-jou Jay	陈志柔
Chen, Chi-yun	陈启云
Chen, David Y.	陈颖
Chen, Ellen Maric	陈张婉莘
Chen, Fan Pen Li	李凡平
Chen, Frederick Tse-shyang	陈子祥
Chen, Fu-yen	陈富彦
Chen, Hsuan-Chih	陈烜之
Chen, Huaiyu	陈怀宇
Chen, Jack W.	陈威
Chen, Janet Y.	陈怡君
Chen, Jian	陈兼
Chen, Jie	陈杰
 
Chen, Jinhua	陈金华
Chen, Jo-shui	陈弱水
Chen, Joseph C.Y.	程贞一
Chen, Joseph Tao	陈真道
Chen, Kenneth K. S.	陈观胜
Chen, King C.	陈庆芝
Chen, Kuang-Hui	陈光辉
