Qiang Fu,傅強
W. Chad Futrell,傅強
Hans Ulrich Vogel,傅漢思
Hans Hermann Fränkel,傅漢思
Hans Ulrich Vogel,傅漢思
Bennett Gwen,關玉琳
Gwen P. Bennett,關玉琳
Edwin Fung,冯兆基
Edmund Fung,馮兆基
Joan Liu,劉麗君
Ruchhira Srisupha,劉麗君
Yoshiko Yoshimura,吉村敬子
Yoshimura Yoshiko,吉村敬子
Ju-hsi Chou,周汝式
Ju-shi Chou,周汝式
Hsun-hsin Chou,周舜莘
Hsun-hsin Chou,周舜莘
Shun-hsin Chou,周舜莘
Shun-hsin Chou,周舜莘
Chi-p’ing Chou,周质平
Chih-p’ing Chou,周質平
Adam Chou,周越
Adam Chau,周越
Annick Gijsbers,安妮
Anne Rebull,安妮
Anna Gryszkiewicz,安娜
Anna Rudakowska,安娜
weijie Song,宋伟杰
Bent Nielsen,尼尔森
Nielsen Bent,尼尔森
Dieter Kuhn,庫恩
Franz W. Kuhn,库恩
Stephan Thome,施益堅
Stephan Schmidt,施益堅
Marco Lazzarotti,李克
Rick Harbaugh,李克
W. Allyn Rickett,李克
W. Allyn Rickett,李克
Sare Arecanli,李瑞
Ari Daniel Levine,李瑞
Oded Abt,歐克德
Abt Oded,歐克德
Tonio Andrade,歐陽泰
Tonio Andrane,欧阳泰
Alastair Ian Johnston,江忆恩
Alastair Iain Johnston,江憶恩
Matthias Christian,田默迪
Christian Matthias,田默迪
Frederick W. Brandauer,白保羅
Paul Benedict,白保羅
Susan Whiting,白素珊
Susanne Brandtstadter,白素珊
Lucian W. Pye,白鲁恂
W. Pey Lucian,白鲁恂
W. Pey Lucian,白鲁恂
Lucian Wilmot Pye,白魯恂
Hans Steininger,石泰安
Rolf A. Stein,石泰安
Alexander Eckstein,艾伯華
Wolfram Eberhard,艾伯華
Frederick G. L. Huetwell,謝宇
Yu Xie,謝宇
Chunghao Kuo,郭忠豪
Pio Kuo,郭忠豪
Olga Blinova,郭靜云
Olga Gorodetskaya,郭靜云
Olga Rapoport,郭靜云
Olga Gorodetskaya,郭靜云
