,名字,姓,名,中文名,汉名,漢名,洋名又名,汉名又名,无调姓,无调名,count
2160,William Martin,Martin,William,丁韙良,丁韪良,丁韙良,,,Martin, William,1
4167,William Alexander Parsons Martin,Martin,William Alexander Parsons,丁韪良,丁韪良,丁韙良,,,Martin, William Alexander Parsons,1
1050,Richard von Glahn,Glahn,Richard von,萬志英,万志英,萬志英,,,Glahn, Richard von,1
4370,Richard Von Glahn,Von Glahn,Richard,万志英,万志英,萬志英,,,Von Glahn, Richard,1
3175,Bryan Van Norden,Van Norden,Bryan,萬百安,万百安,萬百安,,,Van Norden, Bryan,1
4363,Bryan W. Van Norden,Van Norden,Bryan W.,万百安,万百安,萬百安,,,Van Norden, Bryan W.,1
4434,Margaret Mian Yan Yan,Yan,Margaret Mian Yan,严绵,严绵,嚴綿,,,Yan,Margaret Mian Yan,1
3526,Margaret Mian Yan Yan,Yan,Margaret Mian Yan,嚴綿,严绵,嚴綿,,,Yan, Margaret Mian Yan,1
4474,Brook Ziporyn,Ziporyn,Brook,任博克,任博克,任博克,,,Ziporyn, Brook,1
3716,Brook A. Ziporyn,Ziporyn,Brook A.,任博克,任博克,任博克,,,Ziporyn, Brook A.,1
4001,James L． Hevia,Hevia,James L．,何伟亚,何伟亚,何偉亞,,,Hevia, James L.,1
1243,James Hevia,Hevia,James,何偉亞,何伟亚,何偉亞,,,Hevia, James,1
1031,Anne Gerritsen,Gerritsen,Anne,何安娜,何安娜,何安娜,,,Gerritsen,Anne,1
3951,Anne Gerritsen,Gerritsen,Anne,何安娜,何安娜,何安娜,,,Gerritsen, Anne,1
1227,John Herman,Herman,John,何漢德,何汉德,何漢德,,,Herman, John,1
4000,John E. Herman,Herman,John E.,何汉德,何汉德,何漢德,,,Herman, John E.,1
1208,Robert E. Hegel,Hegel,Robert E.,何谷理,何谷理,何谷理,,,Hegel, Robert E.,1
3994,Robert Hegel,Hegel,Robert,何谷理,何谷理,何谷理,,,Hegel, Robert,1
4459,Ying-shih Yu,Yu,Ying-shih,余英时,余英时,余英時,,,Yu, Ying-shih,1
3618,Ying-shih Yü,Yü,Ying-shih,余英時,余英时,餘英時,,,Yu, Ying-shih,1
4200,William H. Nienhauser,Nienhauser,William H.,倪豪士,倪豪士,倪豪士,,,Nienhauser, William H.,1
2356,William H Nienhauser,Nienhauser,William H,倪豪士,倪豪士,倪豪士,,,Nienhauser, William H,1
987,Michael A. Fuller,Fuller,Michael A.,傅君勱,傅君劢,傅君勱,, 傅君勵,Fuller, Michael A.,1
3943,Michael Fuller,Fuller,Michael,傅君劢,傅君劢,傅君勱,,,Fuller, Michael,1
980,Qiang Fu,Fu,Qiang,傅強,傅强,傅強,,,Fu, Qiang,1
996,W. Chad Futrell,Futrell,W. Chad,傅強,傅强,傅強,,,Futrell, W. Chad,1
